ric,ticker,isin,exchange_name,coverage_role
AIRJ.OQ,AIRJ,US6121601016,NASDAQ Stock Exchange Capital Market,native_equity
AIRM.O,AIRM,,,native_equity
AIRO.OQ,AIRO,US0094221068,NASDAQ Stock Exchange Global Market,native_equity
AIRS.OQ,AIRS,US0094961002,NASDAQ Stock Exchange Global Market,native_equity
AISP.OQ,AISP,US0089401089,NASDAQ Stock Exchange Global Market,native_equity
AIT.N,AIT,US03820C1053,New York Stock Exchange,native_equity
AIV.II,AIV,,,native_equity
AIV.N,AIV,US03748R7474,New York Stock Exchange,native_equity
AIZ.II,AIZ,,,native_equity
AIZ.N,AIZ,US04621X1081,New York Stock Exchange,native_equity
AJG.N,AJG,US3635761097,New York Stock Exchange,native_equity
AKAM.OQ,AKAM,US00971T1016,Nasdaq Stock Exchange Global Select Market,native_equity
AKBA.OQ,AKBA,US00972D1054,NASDAQ Stock Exchange Capital Market,native_equity
AKCA.OQ,AKCA,,,native_equity
AKR.N,AKR,US0042391096,New York Stock Exchange,native_equity
AKRO.OQ^L25,AKRO,US00973Y1082,Nasdaq Stock Exchange Global Select Market,native_equity
AKRX.OQ,AKRX,,,native_equity
AKS^C20,AKS^C20,US0015471081,New York Consolidated,native_equity
ALAB.OQ,ALAB,US04626A1034,Nasdaq Stock Exchange Global Select Market,native_equity
ALB.N,ALB,US0126531013,New York Stock Exchange,native_equity
ALCO.OQ,ALCO,US0162301040,Nasdaq Stock Exchange Global Select Market,native_equity
ALDX.OQ,ALDX,US01438T1060,NASDAQ Stock Exchange Capital Market,native_equity
ALEC.OQ,ALEC,US0144421072,Nasdaq Stock Exchange Global Select Market,native_equity
ALEX.N,ALEX,US0144911049,,native_equity
ALFA.OQ,ALFA,,,native_equity
ALG.N,ALG,US0113111076,New York Stock Exchange,native_equity
ALGM.OQ,ALGM,US01749D1054,Nasdaq Stock Exchange Global Select Market,native_equity
ALGN.OQ,ALGN,US0162551016,Nasdaq Stock Exchange Global Select Market,native_equity
